,,QueueLength,TimeStamp
59346161903,129208,149538.6563,62540735367
59959566712,134902,,
60114979835,143763,,
60368900832,136422,,
60393817321,132750,,
60946152109,151713,,
60981935904,138672,,
61142719570,147634,,
61395093578,140379,,
61399066681,136522,,
61972957059,155305,,
61987839815,142429,,
62170923374,151854,,
62400701497,144197,,
62406197099,140433,,
62763040325,156459,,
62979189342,158786,,
62992443803,146168,,
63176790570,155414,,
63406077277,147970,,
63411270431,144325,,
63471469888,163174,,
63788797478,160023,,
63800590468,153107,,
63984588159,162295,,
63997837227,150278,,
64182795557,158897,,
64247005018,166952,,
64411687989,152081,,
64416277924,148095,,
64496212353,166668,,
64790444643,168362,,
64794632802,163610,5289864,66037991830
64824280826,156535,,
64990742543,165966,,
65002874002,153988,,
65184221577,170017,,
65187507320,162394,,
65193364259,161716,,
65273000857,170395,,
65416802310,155607,,
65421740756,152187,,
65501695371,170075,,
65799058323,166964,,
65817157272,171587,,
65829760636,160004,,
65999298313,169368,,
66008729741,157737,,
66192823861,166014,,
66208406714,173315,,
66216020125,165250,,
66277153546,173528,,
66422614411,159158,,
66426478989,155694,,
66507439640,173327,,
66803963087,170343,,
66822187982,174554,,
66835626110,163585,,
66895714096,173329,,
66930250363,153835,,
67004146213,172572,,
67017160649,161273,,
67197486139,169473,,
67213399725,176464,,
67221003798,168555,5533669,68274112412
67283781421,176874,,
67432132648,159263,,
67438718666,170090,,
67442889079,162688,,
67512495341,176481,,
67808175093,173499,,
67827510718,177676,,
67840399389,166953,,
67922910691,176568,,
67980784011,157622,,
68009759002,175457,,
68023104947,164715,,
68148790927,182225,,
68206134676,172698,,
68218156837,179557,,
68226011834,171687,,
68288753527,179991,,
68436550951,162740,,
68447989045,166157,,
68479714228,173406,,
68518719864,179591,,
68813600212,176819,,
68831856823,180896,,
68845925527,170325,,
68928836914,179636,,
68985562986,161134,,
69014668565,178547,,
69028361496,167926,,
69174683123,185711,,
69211149461,175582,,
69222465399,182600,,
69229951752,174627,5717721,70225852105
69292618763,183126,,
69441046143,166197,,
69452860417,169736,,
69484401486,176630,,
69533573991,182657,,
69734453661,172683,,
69819971319,179936,,
69838495493,184558,,
69850847708,173496,,
69935699339,182733,,
69991096356,164523,,
70019369649,181574,,
70032761216,171254,,
70179965277,188597,,
70215857105,178669,,
70227259455,185947,,
70234770812,177777,,
70297099668,186409,,
70446057540,169774,,
70457500089,172923,,
70489444017,179706,,
70538854738,185993,,
70771838764,175693,,
70824925952,183072,,
70844134760,187851,,
70856814920,176805,,
70941259193,186051,,
70995796940,167775,,
71023678775,185065,,
71038333984,174214,,
71186528069,191670,,
71220822535,181724,5908594,72119029218
71232280098,188837,,
71240800528,180932,,
71302288648,189163,,
71451642722,172995,,
71462120163,175881,,
71494898965,182805,,
71546082110,188879,,
71778007483,178774,,
71829403695,186356,,
71851269066,190626,,
71861619644,179907,,
71945625849,188928,,
72001184637,171141,,
72030138715,188313,,
72043572420,177371,,
72192050990,194858,,
72226108659,185159,,
72237001607,191742,,
72245929703,184621,,
72309097484,192084,,
72456172385,175953,,
72468072377,178913,,
72498713045,186106,,
72551474344,191768,,
72782851640,181842,,
72834062491,189151,,
72856945732,193488,,
72866121995,183033,,
72951856912,191805,,
73006267641,174087,,
73034450705,191352,,
73047628373,180757,6105722,74013777046
73230891139,188354,,
73238930160,197824,,
73243536991,194886,,
73253022728,187936,,
73314678020,194938,,
73461928664,178990,,
73473303421,181989,,
73505330367,188976,,
73557690400,194898,,
73787668078,185233,,
73840893054,192039,,
73861311624,196174,,
73870718879,186322,,
73956893974,194902,,
74011247264,177298,,
74040566340,194345,,
74053403514,184165,,
74238874683,191420,,
74244955100,200786,,
74249382718,197888,,
74257969732,190704,,
74320046266,198230,,
74467232247,182065,,
74478074381,185366,,
74510851490,191839,,
74566189849,197936,,
74793707439,188382,,
74846651388,194924,,
74866456679,199002,,
74885408600,189153,,
74965421900,198001,,
75016426240,180690,6259974,75875517409
75045710755,197074,,
75059267130,187512,,
75244678320,194490,,
75249952146,203592,,
75254479247,200876,,
75264614844,193610,,
75326031157,201202,,
75471616827,185452,,
75483095517,188434,,
75516026370,194905,,
75571926787,200923,,
75799948040,191469,,
75851528335,198208,,
75871463923,201926,,
75901978968,192076,,
75969137187,200983,,
76021161292,184025,,
76052478807,199955,,
76063971046,190178,,
76250888400,197222,,
76255393666,206474,,
76260326134,203696,,
76270193535,196283,,
76274104797,193925,,
76331883837,204106,,
76465122883,194335,,
76476126029,188460,,
76490772759,191535,,
76523903824,198036,,
76576398383,203740,,
76805949909,194582,,
76857099971,201157,6456824,77516780942
76877087123,205033,,
76908202827,194927,,
76974142705,203815,,
77026344771,187372,,
77057075223,202758,,
77069067458,193034,,
77144452987,229733,,
77217477104,193610,,
77254846175,200111,,
77261725307,209707,,
77264806696,206567,,
77275176730,199122,,
77302192173,196728,,
77337355279,206958,,
77482415074,191573,,
77490984259,197128,,
77496730245,194683,,
77528875746,201009,,
77581215698,206603,,
77812527795,197320,,
77833724911,197754,,
77862315739,204055,,
77881990762,208320,,
77914730381,198228,,
77978087417,206650,,
78032632524,190016,,
78062374086,205570,,
78074619819,195730,,
78173206947,232268,,
78243721211,196361,,
78259784997,202924,,
78265953744,212398,6564631,78887568789
78269272742,209809,,
78279946041,202007,,
78310649108,199558,,
78341207629,210185,,
78487011470,194728,,
78499145474,200037,,
78503137117,197438,,
78533623176,203844,,
78586316320,209846,,
78629641125,207720,,
78817823874,200206,,
78861040815,200743,,
78867499690,206899,,
78887253115,211360,,
78921201666,201186,,
